OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
70052,881,12/26/2008,0,30,40.363008,-105.560358
70718,881,1/22/2009,0,295,40.3635,-105.560358
149880,856,1/22/2009,0,40,40.363358,-105.560358
70955,881,2/13/2009,0,50,40.363566,-105.560358
151586,856,3/5/2009,0,240,40.363591,-105.560358
152114,856,3/16/2009,0,20,40.363216,-105.560358
152180,856,3/18/2009,0,45,40.363408,-105.560358
152303,856,3/20/2009,0,325,40.363933,-105.560358
71432,881,3/21/2009,0,305,40.363725,-105.560358
152415,856,3/23/2009,0,235,40.363408,-105.560358
71524,881,3/30/2009,0,235,40.363191,-105.560358
152979,856,4/4/2009,0,260,40.363258,-105.560358
147477,856,11/21/2008,0,300,40.3638,-105.56035
69773,881,12/18/2008,0,265,40.362675,-105.56035
70322,881,1/2/2009,0,340,40.364083,-105.56035
70396,881,1/3/2009,0,240,40.363466,-105.56035
70422,881,1/4/2009,0,10,40.3629,-105.56035
149878,856,1/22/2009,0,265,40.36335,-105.56035
151215,856,2/25/2009,0,115,40.363816,-105.56035
151951,856,3/13/2009,0,285,40.363583,-105.56035
152049,856,3/15/2009,0,220,40.363241,-105.56035
152292,856,3/20/2009,0,170,40.363933,-105.56035
152754,856,3/30/2009,0,245,40.363433,-105.56035
67995,881,11/3/2008,0,60,40.363483,-105.560341
147716,856,11/26/2008,0,25,40.363825,-105.560341
147755,856,11/27/2008,0,50,40.363175,-105.560341
69114,881,11/29/2008,0,70,40.363508,-105.560341
69203,881,12/1/2008,0,25,40.363141,-105.560341
70590,881,1/11/2009,0,220,40.363233,-105.560341
149767,856,1/19/2009,0,30,40.363191,-105.560341
70701,881,1/20/2009,0,80,40.363466,-105.560341
150845,856,2/17/2009,0,290,40.363758,-105.560341
152618,856,3/27/2009,0,150,40.363891,-105.560341
147102,856,11/13/2008,0,230,40.363308,-105.560333
68448,881,11/15/2008,0,320,40.363941,-105.560333
147376,856,11/19/2008,0,220,40.363083,-105.560333
69736,881,12/16/2008,0,125,40.363708,-105.560333
149612,856,1/15/2009,0,240,40.363641,-105.560333
151491,856,3/3/2009,0,85,40.3635,-105.560333
153083,856,4/6/2009,0,70,40.363516,-105.560333
71723,881,4/7/2009,0,0,40.364216,-105.560333
68166,881,11/9/2008,0,305,40.36365,-105.560325
147312,856,11/18/2008,0,330,40.363733,-105.560325
148420,856,12/13/2008,0,305,40.363591,-105.560325
69690,881,12/15/2008,0,150,40.363575,-105.560325
69896,881,12/22/2008,0,85,40.363441,-105.560325
149057,856,12/30/2008,0,55,40.363383,-105.560325
70511,881,1/7/2009,0,25,40.363108,-105.560325
149884,856,1/23/2009,0,170,40.364325,-105.560325
150686,856,2/13/2009,0,345,40.363708,-105.560325
151101,856,2/23/2009,0,20,40.363425,-105.560325
151876,856,3/11/2009,0,200,40.363333,-105.560325
151937,856,3/12/2009,0,280,40.363916,-105.560325
152058,856,3/15/2009,0,305,40.363883,-105.560325
152193,856,3/18/2009,0,240,40.363733,-105.560325
152931,856,4/3/2009,0,45,40.363275,-105.560325
152988,856,4/4/2009,0,310,40.363533,-105.560325
147488,856,11/22/2008,0,295,40.363691,-105.560316
68950,881,11/26/2008,0,30,40.363441,-105.560316
147811,856,11/28/2008,0,340,40.364308,-105.560316
148057,856,12/3/2008,0,285,40.363708,-105.560316
148387,856,12/13/2008,0,240,40.3636,-105.560316
70423,881,1/4/2009,0,5,40.362916,-105.560316
70687,881,1/17/2009,0,335,40.364091,-105.560316
