OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x,within_park,elevation,land_cover
68064,881,11/7/2008,0.0,255,40.366466,-105.5613,True,2394.3767,52.0
68079,881,11/8/2008,0.0,45,40.363091,-105.561266,True,2369.1199,52.0
146732,856,11/2/2008,0.0,310,40.362958,-105.56125,True,2365.3672,52.0
149330,856,1/5/2009,0.0,35,40.362583,-105.561208,True,2369.796,52.0
150836,856,2/17/2009,0.0,145,40.3633,-105.561208,True,2371.0642,52.0
146808,856,11/7/2008,0.0,335,40.366608,-105.5612,True,2394.8396,52.0
148346,856,12/10/2008,0.0,65,40.362716,-105.561183,True,2367.2495,52.0
68063,881,11/7/2008,0.0,265,40.36655,-105.561175,True,2394.53,52.0
150175,856,1/30/2009,0.0,300,40.3638,-105.561158,True,2375.6455,52.0
146809,856,11/7/2008,0.0,275,40.366616,-105.561141,True,2394.8396,52.0
149235,856,1/3/2009,0.0,300,40.364058,-105.561141,True,2376.7305,52.0
146344,843COW,11/3/2008,0.0,0,40.37835,-105.561116,True,2547.9421,52.0
151700,856,3/7/2009,0.0,330,40.364766,-105.561116,True,2383.4966,52.0
146454,843COW,2/11/2009,0.0,275,40.375383,-105.5611,False,2606.9253,52.0
146807,856,11/7/2008,0.0,335,40.36655,-105.561066,True,2394.3757,52.0
68062,881,11/7/2008,0.0,260,40.366758,-105.561058,True,2395.3188,52.0
150835,856,2/17/2009,0.0,230,40.363875,-105.561016,True,2374.6687,52.0
150432,856,2/6/2009,0.0,165,40.364375,-105.561,True,2379.9402,52.0
68086,881,11/8/2008,0.0,55,40.363775,-105.560983,True,2374.408,52.0
69738,881,12/16/2008,0.0,40,40.363375,-105.560983,True,2372.179,52.0
150481,856,2/8/2009,0.0,150,40.363133,-105.56095,True,2368.4565,52.0
146343,843COW,11/3/2008,0.0,335,40.378466,-105.560941,True,2543.2861,52.0
69604,881,12/10/2008,0.0,270,40.363033,-105.560925,True,2366.7554,52.0
146440,843COW,1/18/2009,0.0,20,40.392541,-105.560891,False,2466.9119,52.0
68980,881,11/27/2008,0.0,310,40.363766,-105.560875,True,2374.13,52.0
148068,856,12/4/2008,0.0,325,40.364333,-105.560833,True,2377.4973,52.0
70408,881,1/4/2009,0.0,320,40.364016,-105.560825,True,2375.064,52.0
149066,856,12/30/2008,0.0,70,40.363608,-105.560808,True,2372.9873,52.0
149485,856,1/9/2009,0.0,95,40.363475,-105.560808,True,2372.5076,52.0
152712,856,3/29/2009,0.0,70,40.363316,-105.5608,True,2371.505,52.0
152301,856,3/20/2009,0.0,285,40.363658,-105.560775,True,2373.386,52.0
150806,856,2/16/2009,1.2,340,40.365291,-105.560758,True,2381.2832,52.0
149950,856,1/24/2009,0.0,310,40.364241,-105.56075,True,2376.459,52.0
69313,881,12/3/2008,0.0,315,40.363791,-105.560741,True,2373.778,52.0
149387,856,1/6/2009,0.0,320,40.363641,-105.560741,True,2373.386,52.0
149852,856,1/22/2009,0.0,280,40.363308,-105.560741,True,2371.505,52.0
70918,881,2/11/2009,0.0,140,40.364283,-105.560716,True,2376.4158,52.0
148664,856,12/20/2008,0.0,60,40.363416,-105.5607,True,2371.9375,52.0
149350,856,1/6/2009,0.0,25,40.3625,-105.5607,True,2366.435,52.0
150471,856,2/7/2009,0.0,90,40.363491,-105.5607,True,2372.543,52.0
151665,856,3/7/2009,0.0,300,40.363883,-105.5607,True,2374.0376,52.0
148515,856,12/16/2008,0.0,0,40.363691,-105.560691,True,2373.3472,52.0
146470,843COW,3/13/2009,0.0,5,40.368075,-105.560691,False,2409.4482,52.0
152017,856,3/14/2009,0.0,0,40.363558,-105.560691,True,2372.948,52.0
149209,856,1/2/2009,0.0,155,40.364158,-105.560683,True,2375.4592,52.0
150620,856,2/11/2009,1.2,125,40.363841,-105.560683,True,2374.0376,52.0
151677,856,3/7/2009,0.0,325,40.363816,-105.560683,True,2374.0376,52.0
146869,856,11/9/2008,0.0,300,40.363558,-105.560675,True,2372.948,52.0
147688,856,11/26/2008,0.0,120,40.363733,-105.560675,True,2373.6519,52.0
148353,856,12/11/2008,0.0,130,40.363783,-105.560675,True,2373.6519,52.0
149546,856,1/12/2009,0.0,55,40.363291,-105.560675,True,2371.1423,52.0
150575,856,2/10/2009,0.0,260,40.36355,-105.560675,True,2372.948,52.0
149853,856,1/22/2009,0.0,20,40.363491,-105.560666,True,2372.543,52.0
149882,856,1/22/2009,0.0,25,40.362583,-105.560666,True,2366.435,52.0
69504,881,12/7/2008,0.0,300,40.363675,-105.560658,True,2373.3472,52.0
149214,856,1/2/2009,0.0,305,40.363641,-105.560658,True,2373.3472,52.0
149386,856,1/6/2009,0.0,285,40.363566,-105.56065,True,2372.948,52.0
149898,856,1/23/2009,0.0,265,40.362758,-105.56065,True,2364.366,52.0
69676,881,12/15/2008,0.0,255,40.3634,-105.560633,True,2371.8853,52.0
71066,881,2/23/2009,0.0,145,40.363216,-105.560633,True,2370.4648,52.0
146852,856,11/8/2008,0.0,260,40.363025,-105.560625,True,2367.7268,52.0
153043,856,4/5/2009,0.0,150,40.364283,-105.560625,True,2375.4648,52.0
149241,856,1/3/2009,0.0,100,40.363525,-105.560616,True,2372.877,52.0
151236,856,2/26/2009,0.0,15,40.363125,-105.560616,True,2369.6313,52.0
68998,881,11/27/2008,0.0,315,40.363491,-105.560608,True,2372.5483,52.0
148567,856,12/18/2008,0.0,65,40.363333,-105.560608,True,2370.648,52.0
148633,856,12/19/2008,0.0,135,40.3641,-105.560608,True,2375.1301,52.0
149879,856,1/22/2009,0.0,50,40.3632,-105.560608,True,2370.4648,52.0
149943,856,1/24/2009,0.0,190,40.363033,-105.560608,True,2367.7268,52.0
150470,856,2/7/2009,0.0,0,40.363408,-105.560608,True,2371.8853,52.0
69535,881,12/8/2008,0.0,260,40.363166,-105.5606,True,2370.4648,52.0
150613,856,2/11/2009,0.0,325,40.364191,-105.5606,True,2375.3972,52.0
148183,856,12/6/2008,0.0,220,40.362958,-105.560591,True,2365.0889,52.0
150253,856,2/1/2009,0.0,320,40.364158,-105.560591,True,2375.1301,52.0
150630,856,2/12/2009,0.0,345,40.364883,-105.560591,True,2379.4182,52.0
68080,881,11/8/2008,0.0,30,40.363158,-105.560583,True,2370.4648,52.0
149353,856,1/6/2009,0.0,325,40.363925,-105.560583,True,2374.3416,52.0
149716,856,1/18/2009,0.0,0,40.363216,-105.560583,True,2370.4648,52.0
151014,856,2/21/2009,0.0,40,40.362908,-105.560583,True,2365.0889,52.0
69689,881,12/15/2008,0.0,265,40.363375,-105.560575,True,2371.8853,52.0
148783,856,12/23/2008,0.0,315,40.364091,-105.560575,True,2375.1301,52.0
150599,856,2/11/2009,0.0,55,40.363275,-105.560575,True,2370.648,52.0
68075,881,11/8/2008,0.0,75,40.363433,-105.560566,True,2372.5483,52.0
147945,856,12/1/2008,0.0,30,40.363025,-105.560566,True,2367.7268,52.0
149192,856,1/2/2009,0.0,45,40.363175,-105.560566,True,2370.4648,52.0
150917,856,2/19/2009,0.0,230,40.3631,-105.560566,True,2369.6313,52.0
151540,856,3/4/2009,0.0,75,40.363441,-105.560566,True,2372.5483,52.0
152255,856,3/19/2009,0.0,300,40.363558,-105.560566,True,2372.877,52.0
148717,856,12/22/2008,0.0,45,40.363116,-105.560558,True,2369.6313,52.0
152526,856,3/25/2009,0.0,290,40.363883,-105.560558,True,2373.8833,52.0
69632,881,12/13/2008,0.0,220,40.363125,-105.56055,True,2369.4766,52.0
148628,856,12/19/2008,0.0,265,40.363366,-105.56055,True,2371.9111,52.0
150396,856,2/5/2009,0.0,300,40.364133,-105.56055,True,2374.8118,52.0
151193,856,2/25/2009,0.0,235,40.362991,-105.56055,True,2367.1628,52.0
151541,856,3/4/2009,0.0,180,40.36345,-105.56055,True,2372.4934,52.0
